Chicago Fire; 1999; 32; 51; 63; 448; 201; 3; 5; 495; 450; 56; 6; 7; 113; 72.4; 1.13; 16; 256,261; 16,016; 16; 226,068; 14,129
New England Revolution; 1999; 32; 38; 43; 393; 194; 2; 3; 504; 428; 56; 5; 3; 119; 63; 1.66; 16; 267,752; 16,734; 16; 249,271; 15,579
Miami Fusion; 1999; 32; 42; 56; 417; 181; 2; 3; 482; 447; 59; 7; 6; 134; 64.1; 1.84; 16; 139,021; 8,688; 16; 261,679; 16,354
MetroStars; 1999; 32; 32; 41; 522; 191; 3; 5; 398; 419; 48; 6; 2; 128; 61; 2; 16; 235,301; 14,706; 16; 230,602; 14,412
Tampa Bay Mutiny; 1999; 32; 51; 78; 450; 186; 2; 3; 377; 430; 45; 7; 5; 170; 75.6; 1.56; 16; 209,700; 13,106; 16; 233,142; 14,571
Dallas Burn; 1999; 32; 54; 66; 413; 205; 2; 3; 448; 446; 45; 5; 12; 151; 77.4; 1.09; 16; 195,381; 12,211; 16; 208,346; 13,021
Columbus Crew; 1999; 32; 48; 65; 456; 199; 1; 2; 474; 471; 41; 0; 6; 111; 68.9; 1.22; 16; 283,129; 17,695; 16; 233,379; 14,586
Kansas City Wizards; 1999; 32; 33; 47; 439; 169; 2; 3; 420; 428; 47; 4; 5; 133; 68.9; 1.66; 16; 130,924; 8,182; 16; 191,229; 11,951
Colorado Rapids; 1999; 32; 38; 52; 397; 147; 3; 5; 493; 458; 45; 2; 12; 138; 74.2; 1.22; 16; 224,459; 14,028; 16; 198,883; 12,430
Los Angeles Galaxy; 1999; 32; 49; 69; 424; 185; 1; 4; 457; 425; 53; 2; 11; 119; 78.8; 0.91; 16; 282,113; 17,632; 16; 211,658; 13,228
San Jose Clash; 1999; 32; 48; 67; 382; 176; 1; 1; 510; 412; 59; 3; 4; 131; 70.4; 1.53; 16; 239,350; 14,959; 16; 195,411; 12,213
D.C. United; 1999; 32; 65; 91; 440; 204; 3; 4; 505; 480; 60; 9; 4; 125; 70.6; 1.34; 16; 278,711; 17,419; 16; 302,434; 18,902
Chicago Fire; 2000; 32; 67; 85; 488; 230; 5; 10; 545; 564; 71; 7; 6; 123; 68.7; 1.56; 16; 214,189; 13,386; 16; 244,974; 15,310
New England Revolution; 2000; 32; 47; 50; 441; 209; 5; 6; 569; 526; 68; 2; 5; 107; 62.2; 1.49; 16; 247,409; 15,463; 16; 227,627; 14,226
Miami Fusion; 2000; 32; 54; 78; 477; 206; 4; 5; 516; 540; 60; 9; 4; 141; 67.8; 1.71; 16; 119,352; 7,459; 16; 212,710; 13,294
MetroStars; 2000; 32; 64; 72; 437; 207; 9; 10; 593; 520; 69; 11; 6; 161; 65.2; 1.71; 16; 281,938; 17,621; 16; 205,264; 12,829
San Jose Earthquakes; 2000; 32; 35; 41; 412; 192; 5; 5; 527; 473; 59; 6; 9; 168; 75; 1.52; 16; 199,364; 12,460; 16; 197,910; 12,369
Tampa Bay Mutiny; 2000; 32; 62; 94; 457; 202; 3; 8; 434; 446; 51; 3; 6; 184; 74.5; 1.53; 16; 151,232; 9,452; 16; 219,245; 13,702
Dallas Burn; 2000; 32; 54; 79; 392; 199; 1; 1; 588; 521; 62; 4; 7; 131; 66.8; 1.66; 16; 209,637; 13,102; 16; 171,404; 10,712
Columbus Crew; 2000; 32; 48; 57; 429; 184; 3; 3; 498; 543; 63; 2; 4; 137; 65.9; 1.78; 16; 247,220; 15,451; 16; 255,703; 15,981
Kansas City Wizards; 2000; 32; 47; 67; 452; 175; 0; 0; 503; 541; 52; 2; 17; 131; 79.4; 0.9; 16; 145,793; 9,112; 16; 234,089; 14,630
Colorado Rapids; 2000; 32; 43; 57; 482; 196; 4; 7; 581; 526; 56; 2; 6; 151; 66.5; 1.8; 16; 201,281; 12,580; 16; 173,994; 10,874
Los Angeles Galaxy; 2000; 32; 47; 47; 472; 202; 6; 7; 516; 504; 53; 4; 8; 112; 71.3; 1.12; 16; 326,392; 20,399; 16; 264,085; 16,505
D.C. United; 2000; 32; 44; 42; 472; 214; 3; 4; 618; 531; 72; 3; 3; 116; 62.4; 1.94; 16; 297,279; 18,579; 16; 234,081; 14,630
Chicago Fire; 2001; 27; 50; 64; 379; 188; 4; 6; 458; 488; 53; 6; 9; 111; 76.6; 1.08; 14; 229,438; 16,388; 13; 179,487; 13,806
New England Revolution; 2001; 27; 35; 38; 341; 146; 7; 9; 483; 457; 60; 3; 3; 140; 68; 1.88; 13; 203,501; 15,653; 14; 214,944; 15,353
Miami Fusion; 2001; 26; 57; 89; 391; 181; 2; 3; 390; 398; 59; 5; 5; 121; 73.8; 1.36; 14; 156,481; 11,177; 12; 171,282; 14,273
MetroStars; 2001; 26; 38; 45; 362; 158; 1; 3; 465; 438; 59; 5; 4; 146; 76.8; 1.33; 13; 270,477; 20,805; 13; 203,266; 15,635
San Jose Earthquakes; 2001; 26; 47; 66; 368; 195; 2; 4; 398; 385; 37; 3; 7; 104; 74.8; 1.09; 13; 125,250; 9,634; 13; 207,954; 15,996
Tampa Bay Mutiny; 2001; 27; 32; 45; 347; 144; 4; 6; 386; 361; 57; 6; 2; 143; 63.6; 2.49; 14; 146,734; 10,481; 13; 217,347; 16,719
Dallas Burn; 2001; 26; 48; 71; 409; 185; 3; 3; 465; 334; 57; 3; 9; 91; 65; 1.75; 13; 163,465; 12,574; 13; 181,390; 13,953
Columbus Crew; 2001; 26; 49; 66; 331; 152; 1; 1; 374; 418; 40; 6; 5; 141; 76.6; 1.34; 13; 227,644; 17,511; 13; 202,597; 15,584
Kansas City Wizards; 2001; 27; 33; 43; 351; 145; 3; 3; 424; 419; 45; 3; 7; 128; 69.2; 1.93; 13; 142,402; 10,954; 14; 166,060; 11,861
Colorado Rapids; 2001; 26; 36; 50; 353; 156; 2; 2; 427; 405; 45; 3; 2; 138; 71.5; 1.74; 13; 214,249; 16,480; 13; 195,095; 15,007
Los Angeles Galaxy; 2001; 26; 52; 60; 404; 201; 5; 7; 432; 404; 50; 1; 10; 100; 70.4; 1.34; 13; 226,035; 17,387; 13; 176,068; 13,543
D.C. United; 2001; 26; 42; 60; 387; 217; 3; 5; 509; 459; 64; 3; 2; 103; 66.5; 1.9; 12; 258,213; 21,517; 14; 248,399; 17,742
Chicago Fire; 2002; 28; 43; 54; 380; 165; 2; 4; 472; 479; 58; 3; 7; 127; 74.3; 1.33; 14; 180,908; 12,922; 14; 291,067; 20,790
Columbus Crew; 2002; 28; 44; 60; 375; 155; 3; 3; 482; 470; 60; 4; 7; 136; 74.3; 1.49; 14; 243,999; 17,428; 14; 217,611; 15,543
MetroStars; 2002; 28; 41; 52; 383; 174; 6; 9; 445; 515; 60; 9; 4; 143; 70.8; 1.66; 14; 254,174; 18,155; 14; 204,060; 14,575
Colorado Rapids; 2002; 28; 43; 63; 369; 161; 6; 6; 469; 390; 63; 3; 6; 110; 65.9; 1.68; 14; 289,622; 20,687; 14; 180,590; 12,899
San Jose Earthquakes; 2002; 28; 45; 59; 372; 177; 2; 3; 448; 383; 55; 3; 8; 111; 72.5; 1.23; 14; 156,104; 11,150; 14; 273,083; 19,505
Kansas City Wizards; 2002; 28; 37; 49; 403; 176; 4; 6; 362; 442; 47; 6; 4; 120; 71.4; 1.55; 14; 171,568; 12,254; 14; 207,451; 14,817
Los Angeles Galaxy; 2002; 28; 44; 68; 401; 198; 3; 5; 456; 407; 53; 5; 7; 116; 74.8; 1.15; 14; 266,664; 19,047; 14; 221,462; 15,818
New England Revolution; 2002; 28; 49; 62; 368; 184; 3; 4; 463; 425; 50; 3; 7; 125; 66.1; 1.73; 14; 236,973; 16,926; 14; 201,853; 14,418
D.C. United; 2002; 28; 31; 40; 334; 164; 1; 4; 492; 442; 69; 4; 7; 131; 71.6; 1.39; 14; 231,264; 16,518; 14; 235,950; 16,853
Dallas Burn; 2002; 28; 44; 58; 403; 182; 3; 3; 470; 411; 57; 4; 3; 115; 69.7; 1.48; 14; 183,702; 13,121; 14; 181,851; 12,989
Chicago Fire; 2003; 30; 53; 42; 454; 200; 7; 9; 491; 511; 50; 3; 8; 128; 72.7; 1.39; 15; 210,080; 14,005; 15; 213,494; 14,232
Columbus Crew; 2003; 30; 44; 47; 395; 179; 3; 3; 476; 462; 65; 2; 6; 125; 71.8; 1.41; 15; 243,756; 16,250; 15; 233,704; 15,580
MetroStars; 2003; 30; 40; 35; 399; 191; 4; 7; 498; 510; 53; 4; 8; 143; 75.3; 1.28; 15; 237,326; 15,821; 15; 216,485; 14,432
Colorado Rapids; 2003; 30; 40; 40; 384; 172; 5; 6; 482; 409; 52; 5; 9; 97; 66.9; 1.46; 15; 251,578; 16,771; 15; 205,612; 13,707
San Jose Earthquakes; 2003; 30; 45; 57; 377; 164; 2; 2; 476; 409; 53; 4; 10; 114; 73.1; 1.13; 15; 156,989; 10,465; 15; 236,578; 15,771
Kansas City Wizards; 2003; 30; 48; 41; 411; 180; 5; 6; 422; 431; 58; 2; 4; 121; 70.3; 1.42; 15; 233,594; 15,572; 15; 269,478; 17,965
Los Angeles Galaxy; 2003; 30; 35; 33; 368; 172; 7; 8; 494; 468; 52; 3; 3; 149; 78.4; 1.12; 15; 329,752; 21,983; 15; 209,091; 13,939
New England Revolution; 2003; 30; 55; 51; 440; 201; 2; 3; 458; 483; 45; 5; 4; 107; 67.3; 1.51; 15; 219,611; 14,640; 15; 209,503; 13,966
D.C. United; 2003; 30; 38; 38; 331; 148; 8; 8; 530; 508; 69; 4; 7; 126; 76.4; 1.15; 15; 233,476; 15,565; 15; 230,874; 15,391
Dallas Burn; 2003; 30; 35; 34; 332; 133; 4; 6; 509; 393; 52; 6; 4; 138; 64.8; 2.09; 15; 118,585; 7,905; 15; 209,928; 13,995
Chicago Fire; 2004; 30; 36; 40; 381; 150; 4; 5; 420; 504; 51; 5; 7; 132; 73.7; 1.47; 15; 257,295; 17,153; 15; 227,933; 15,195
Columbus Crew; 2004; 30; 40; 32; 335; 147; 8; 8; 464; 398; 49; 2; 10; 137; 77.8; 1.07; 15; 253,079; 16,871; 15; 188,664; 12,577
MetroStars; 2004; 30; 47; 40; 456; 193; 8; 8; 430; 500; 53; 2; 5; 103; 66; 1.63; 15; 257,923; 17,194; 15; 199,720; 13,314
Colorado Rapids; 2004; 30; 29; 35; 396; 165; 2; 3; 463; 385; 47; 4; 10; 150; 80.2; 1.07; 15; 212,925; 14,195; 15; 258,502; 17,233
San Jose Earthquakes; 2004; 30; 41; 45; 373; 158; 3; 5; 460; 499; 52; 6; 8; 113; 75.3; 1.17; 15; 195,015; 13,001; 15; 234,512; 15,634
Kansas City Wizards; 2004; 30; 38; 34; 368; 162; 3; 5; 405; 429; 43; 4; 12; 118; 74.7; 1; 15; 222,235; 14,815; 15; 205,703; 13,713
Los Angeles Galaxy; 2004; 30; 42; 40; 347; 156; 4; 5; 484; 469; 60; 1; 7; 119; 71.3; 1.33; 15; 357,137; 23,809; 15; 217,411; 14,494
New England Revolution; 2004; 30; 42; 47; 364; 177; 4; 6; 406; 477; 48; 3; 4; 136; 73.5; 1.43; 15; 183,385; 12,225; 15; 247,236; 16,482
D.C. United; 2004; 30; 43; 48; 365; 187; 1; 2; 542; 410; 66; 3; 7; 84; 64.1; 1.4; 15; 258,484; 17,232; 15; 355,289; 23,685
Dallas Burn; 2004; 30; 34; 38; 407; 160; 2; 2; 499; 373; 60; 5; 8; 117; 70.5; 1.5; 15; 136,319; 9,087; 15; 198,827; 13,255
Chicago Fire; 2005; 32; 49; 52; 389; 183; 4; 7; 454; 448; 45; 3; 7; 99; 65.1; 1.56; 16; 275,811; 17,238; 16; 244,877; 15,304
New England Revolution; 2005; 32; 55; 59; 400; 200; 2; 2; 440; 459; 55; 2; 10; 119; 70.4; 1.16; 16; 200,397; 12,524; 16; 252,141; 15,758
FC Dallas; 2005; 32; 52; 48; 460; 199; 4; 4; 557; 403; 63; 2; 7; 113; 71.5; 1.38; 16; 179,021; 11,188; 16; 255,818; 15,988
MetroStars; 2005; 32; 53; 53; 391; 173; 6; 7; 458; 406; 65; 4; 6; 152; 71.7; 1.53; 16; 241,230; 15,076; 16; 213,506; 13,344
San Jose Earthquakes; 2005; 32; 53; 62; 344; 164; 2; 2; 528; 590; 54; 4; 12; 105; 77.2; 0.97; 16; 208,594; 13,037; 16; 200,419; 12,526
Columbus Crew; 2005; 32; 34; 42; 391; 137; 2; 5; 456; 415; 53; 3; 9; 134; 72; 1.41; 16; 206,654; 12,915; 16; 240,549; 15,034
Kansas City Wizards; 2005; 32; 52; 48; 422; 178; 1; 2; 389; 464; 42; 1; 7; 112; 68.7; 1.38; 16; 155,060; 9,691; 16; 239,894; 14,993
Colorado Rapids; 2005; 32; 40; 42; 339; 141; 6; 7; 491; 451; 72; 6; 10; 121; 73.3; 1.16; 16; 218,206; 13,637; 16; 222,844; 13,927
Chivas USA; 2005; 32; 31; 28; 355; 138; 4; 4; 521; 452; 70; 4; 3; 141; 64.7; 2.09; 16; 273,284; 17,080; 16; 268,176; 16,761
Los Angeles Galaxy; 2005; 32; 44; 42; 405; 183; 6; 6; 449; 484; 59; 2; 6; 97; 67.8; 1.41; 16; 387,256; 24,203; 16; 308,241; 19,265
Real Salt Lake; 2005; 32; 30; 23; 352; 157; 4; 4; 423; 458; 60; 6; 4; 146; 67.6; 2.03; 16; 288,586; 18,036; 16; 207,985; 12,999
D.C. United; 2005; 32; 58; 58; 410; 201; 9; 9; 504; 470; 61; 5; 11; 97; 71.3; 1.16; 16; 266,617; 16,663; 16; 246,266; 15,391
Chicago Fire; 2006; 32; 43; 41; 345; 155; 3; 6; 457; 466; 53; 2; 8; 133; 76; 1.28; 16; 225,775; 14,110; 16; 213,650; 13,353
New England Revolution; 2006; 32; 39; 42; 382; 167; 2; 2; 422; 515; 58; 1; 10; 141; 77.5; 1.09; 16; 188,569; 11,785; 16; 347,206; 21,700
